# fE1_exp_029_064_DRC.dat                         
#                                                 
# Z = 29  , A = 64                                
# No. of entries:            18                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f in MeV^-3              
# Col 4: uncertainty df in MeV^-3                 
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         f             dE        df            
     7.916    0.420E-07      0.000    0.105E-07
     7.756    0.837E-07      0.000    0.209E-07
     7.637    0.498E-07      0.000    0.125E-07
     7.571    0.153E-07      0.000    0.380E-08
     7.556    0.333E-07      0.000    0.830E-08
     7.307    0.474E-07      0.000    0.119E-07
     7.252    0.730E-08      0.000    0.180E-08
     7.176    0.650E-07      0.000    0.163E-07
     7.168    0.144E-07      0.000    0.360E-08
     7.036    0.170E-07      0.000    0.430E-08
     7.021    0.120E-07      0.000    0.300E-08
     6.988    0.156E-07      0.000    0.390E-08
     6.674    0.636E-07      0.000    0.159E-07
     6.628    0.405E-07      0.000    0.101E-07
     6.617    0.291E-07      0.000    0.730E-08
     6.594    0.324E-07      0.000    0.810E-08
     6.553    0.157E-07      0.000    0.390E-08
     6.394    0.144E-07      0.000    0.360E-08
